trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,16,0.5810334719961445,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,8,13.610637670375331,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,12,-22.006923843221163,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,6,-2.8649200848858616,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-43.82029973918895,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,0,-121.79618425146518,"{0: 22, 1: 3, 2: 0, 3: 3, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,6,-6.527505085599087,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,6,0.5132075732436399,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,18,-7.053813103737483,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,-82.9601597454355,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.475340042005707}",30,0,-64.05837125172755,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,8,-4.137942138987335,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",20,0,26.807792361351005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",30,19,-1.949641502391526,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,0,-27.98458981235138,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",25,5,-125.25640479330325,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,0,-34.45020997097679,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",25,13,6.415172046185142,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,0,-3.339752885144923,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",25,0,-85.25313469360921,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",25,9,-0.3495884505286906,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",30,0,-115.12430940682195,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",25,0,-88.90354593368839,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",20,0,-38.97272297956077,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",20,0,-102.73368141173256,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",20,0,-32.61855437903682,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",30,0,-102.27795361957193,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",20,13,2.924907087858279,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",25,9,-0.9119850707511599,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.392711028357805}",20,0,-6.121414851423606,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,0,-38.44764302102893,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",20,6,-32.650578695412236,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",20,14,3.5106195377714258,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",20,0,6.379400078384058,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,0,-33.503189836586934,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,0,-114.65043286785766,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",25,9,9.91736521930824,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",25,7,-77.40017943271693,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",20,6,11.511435863624024,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",30,12,-57.87701360747239,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",20,0,-38.58123152605582,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",25,0,2.4669062255917815,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",25,0,-51.29552479656482,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
